bits, path
255686, sub-HC035_ses-01
255688, sub-HC035
255726, sub-HC005_ses-01
255728, sub-HC005
255774, sub-HC021_ses-01
255776, sub-HC021
255790, sub-HC011_ses-01
255792, sub-HC011
255854, sub-HC027_ses-01
255856, sub-HC027
255910, sub-HC009_ses-01
255912, sub-HC009
256214, sub-HC013_ses-01
256216, sub-HC013
256246, sub-HC033_ses-01
256248, sub-HC033
256326, sub-HC008_ses-01
256328, sub-HC008
256398, sub-HC024_ses-01
256400, sub-HC024
256406, sub-HC014_ses-01
256406, sub-HC020_ses-01
256408, sub-HC014
256408, sub-HC020
256470, sub-HC017_ses-01
256472, sub-HC017
256478, sub-HC036_ses-01
256480, sub-HC036
256566, sub-HC047_ses-01
256568, sub-HC047
256622, sub-HC028_ses-01
256624, sub-HC028
256630, sub-HC039_ses-01
256632, sub-HC039
256638, sub-HC029_ses-01
256640, sub-HC029
256734, sub-HC032_ses-01
256736, sub-HC032
256798, sub-HC040_ses-01
256800, sub-HC040
256838, sub-HC010_ses-01
256838, sub-HC045_ses-01
256840, sub-HC010
256840, sub-HC045
256878, sub-HC034_ses-01
256880, sub-HC034
256886, sub-HC046_ses-01
256888, sub-HC046
256926, sub-HC037_ses-01
256928, sub-HC037
256974, sub-HC018_ses-01
256976, sub-HC018
257038, sub-HC025_ses-01
257040, sub-HC025
257046, sub-HC038_ses-01
257048, sub-HC038
257070, sub-HC019_ses-01
257072, sub-HC019
257158, sub-HC022_ses-01
257160, sub-HC022
257198, sub-HC015_ses-01
257200, sub-HC015
257278, sub-HC044_ses-01
257280, sub-HC044
257286, sub-HC031_ses-01
257288, sub-HC031
257302, sub-HC016_ses-01
257302, sub-HC030_ses-01
257304, sub-HC016
257304, sub-HC030
257374, sub-HC043_ses-01
257376, sub-HC043
257390, sub-HC050_ses-01
257392, sub-HC050
257734, sub-HC049_ses-01
257736, sub-HC049
257798, sub-HC012_ses-01
257800, sub-HC012
258542, sub-HC041_ses-01
258544, sub-HC041
263158, sub-HC004_ses-01
263160, sub-HC004
263462, sub-HC003_ses-01
263464, sub-HC003
263686, sub-HC002_ses-01
263688, sub-HC002
264318, sub-HC001_ses-01
264320, sub-HC001
12850268, .
